month,Total_crimes,Serious,Huge_damage,Ecological,Terrorism,Extremism,Murder,Harm_to_health,Rape,Theft,Vehicle_theft,Fraud_scam,Hooligan,Drugs,Weapons
01.01.2003,214587.0,88203.0,20162.0,1216.0,630.0,13.0,2749.0,5559.0,574.0,81014.0,3549.0,7731.0,10560.0,16006.0,4661.0
01.02.2003,221928.0,88863.0,20889.0,1701.0,678.0,5.0,2444.0,4732.0,515.0,95970.0,3697.0,7607.0,10816.0,16839.0,5364.0
01.03.2003,248452.0,101349.0,24053.0,1817.0,809.0,10.0,2864.0,4851.0,560.0,79420.0,4327.0,9437.0,11813.0,20176.0,5938.0
01.04.2003,236299.0,91625.0,19754.0,2449.0,892.0,10.0,2919.0,4722.0,668.0,95215.0,5345.0,7824.0,12636.0,16614.0,5230.0
01.05.2003,230931.0,89615.0,17519.0,3530.0,796.0,20.0,2713.0,4895.0,688.0,94505.0,6374.0,7122.0,12234.0,14413.0,5112.0
01.06.2003,249710.0,97514.0,19351.0,3121.0,577.0,8.0,2685.0,4408.0,762.0,100154.0,7178.0,10507.0,11825.0,14659.0,5321.0
01.07.2003,225847.0,84698.0,14048.0,2340.0,425.0,13.0,2478.0,4814.0,791.0,100070.0,7282.0,5914.0,11152.0,11146.0,3803.0
01.08.2003,222107.0,84597.0,15578.0,2137.0,442.0,21.0,2472.0,4825.0,730.0,96690.0,7017.0,5687.0,10348.0,12868.0,4075.0
01.09.2003,240131.0,94677.0,18980.0,2542.0,752.0,7.0,2418.0,4598.0,761.0,101031.0,6996.0,7997.0,10566.0,14784.0,4397.0
01.10.2003,245711.0,92437.0,17943.0,1898.0,993.0,32.0,2679.0,5021.0,785.0,108788.0,7652.0,5935.0,11762.0,15052.0,4264.0
01.11.2003,218480.0,86458.0,16265.0,1836.0,738.0,11.0,2559.0,4309.0,622.0,92749.0,5547.0,5848.0,11157.0,13883.0,3969.0
01.12.2003,202215.0,80115.0,16837.0,1510.0,932.0,7.0,2380.0,4353.0,629.0,105166.0,5565.0,5862.0,9183.0,15248.0,2069.0
01.01.2004,211885.0,78407.0,20590.0,1535.0,672.0,8.0,2584.0,5319.0,599.0,85650.0,3948.0,9957.0,2197.0,16477.0,2503.0
01.02.2004,230077.0,81036.0,20177.0,1781.0,1044.0,8.0,2563.0,4656.0,609.0,92876.0,3887.0,10862.0,2073.0,18885.0,2759.0
01.03.2004,261288.0,90832.0,23328.0,2189.0,1157.0,9.0,3007.0,5363.0,702.0,104182.0,4839.0,12672.0,2390.0,20197.0,2953.0
01.04.2004,239677.0,77428.0,21333.0,2634.0,1198.0,9.0,2742.0,4971.0,723.0,100795.0,5460.0,10736.0,2302.0,17924.0,2380.0
01.05.2004,228278.0,73593.0,8608.0,3985.0,991.0,5.0,2665.0,4905.0,757.0,100725.0,6588.0,10109.0,2187.0,7275.0,2580.0
